Row ID,Order ID,Order Date ,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit  percentage
7478,CA-2014-167199,06-01-2014,01-10-2014,Second Class,BP-11290,Beth Paige,Consumer,US,Evanston,Illinois,60201,Central,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",258.28,3,0.30,-70.1,-368.4%
7479,CA-2014-167199,06-01-2014,01-10-2014,Second Class,AR-10405,Allen Rosenblatt,Corporate,US,Los Angeles,California,90036,West,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,143.43,1,0.20,3.59,3995.3%
7480,CA-2014-167199,06-01-2014,01-10-2014,Second Class,AR-10405,Allen Rosenblatt,Corporate,US,Los Angeles,California,90036,West,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",122.35,3,0.20,13.76,889.2%
7481,CA-2014-167199,06-01-2014,01-10-2014,Standard Class,SL-20155,Sara Luxemburg,Home Office,US,Durham,North Carolina,27707,South,OFF-ST-10000532,Office Supplies,Storage,Advantus Rolling Drawer Organizers,61.57,2,0.20,4.62,1332.7%
7661,CA-2014-105417,07-01-2014,01-12-2014,Standard Class,NM-18445,Nathan Mautz,Home Office,US,New York City,New York,10024,East,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,2,0.00,1995.99,200.0%
7662,CA-2014-105417,07-01-2014,01-12-2014,Standard Class,NM-18445,Nathan Mautz,Home Office,US,New York City,New York,10024,East,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,275.94,6,0.00,80.02,344.8%
593,CA-2014-135405,09-01-2014,13-01-2014,Standard Class,MH-18115,Mick Hernandez,Home Office,US,Chester,Pennsylvania,19013,East,FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,6.70,1,0.20,0.5,1340.0%
594,CA-2014-135405,09-01-2014,13-01-2014,Standard Class,MH-18115,Mick Hernandez,Home Office,US,Chester,Pennsylvania,19013,East,FUR-FU-10003535,Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,43.87,2,0.20,11.52,380.8%
866,CA-2014-149020,10-01-2014,15-01-2014,Standard Class,SC-20770,Stewart Carmichael,Corporate,US,Los Angeles,California,90008,West,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,99.39,3,0.00,40.75,243.9%
867,CA-2014-149020,10-01-2014,15-01-2014,Same Day,ON-18715,Odella Nelson,Corporate,US,Burlington,North Carolina,27217,South,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,630.02,4,0.40,-199.51,-315.8%
717,CA-2014-130092,11-01-2014,14-01-2014,Standard Class,JE-15475,Jeremy Ellison,Consumer,US,New York City,New York,10024,East,OFF-AR-10001915,Office Supplies,Art,Peel-Off China Markers,29.79,3,0.00,12.51,238.1%
541,CA-2014-140795,01-02-2014,02-03-2014,Standard Class,KH-16330,Katharine Harms,Corporate,US,Revere,Massachusetts,2151,East,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,4,0.00,2.68,2498.5%
1704,CA-2014-139857,02-02-2014,02-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,US,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.20,90.72,999.9%
9138,CA-2014-123400,02-02-2014,02-09-2014,Standard Class,GZ-14470,Gary Zandusky,Consumer,US,San Francisco,California,94110,West,TEC-AC-10001383,Technology,Accessories,Logitech Wireless Touch Keyboard K400,49.98,2,0.00,8.5,588.0%
9139,CA-2014-123400,02-02-2014,02-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,US,San Antonio,Texas,78207,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.94,3,0.20,2.73,364.1%
1518,CA-2014-111059,03-02-2014,02-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,US,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3,0.20,5.78,320.1%
1519,CA-2014-111059,03-02-2014,02-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,US,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5,0.00,34.47,333.3%
8585,CA-2014-104808,04-02-2014,02-08-2014,Second Class,VG-21790,Vivek Gonzalez,Consumer,US,Jacksonville,Florida,32216,South,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,155.46,4,0.20,-7.77,-2000.8%
1544,CA-2014-107181,04-02-2014,02-08-2014,Standard Class,ED-13885,Emily Ducich,Home Office,US,San Diego,California,92037,West,OFF-LA-10000262,Office Supplies,Labels,Avery 494,20.88,8,0.00,9.6,217.5%
1545,CA-2014-107181,04-02-2014,02-08-2014,Standard Class,GM-14500,Gene McClure,Consumer,US,Fresno,California,93727,West,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),5.98,1,0.00,2.69,222.3%
1998,CA-2014-131905,06-02-2014,02-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,US,San Antonio,Texas,78207,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.95,8,0.40,-1359.99,-600.0%
1999,CA-2014-131905,06-02-2014,02-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,US,San Antonio,Texas,78207,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.93,3,0.20,-58.63,-470.6%
2000,CA-2014-131905,06-02-2014,02-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,US,San Antonio,Texas,78207,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.30,-24.86,-6999.4%
8981,CA-2014-108182,06-02-2014,02-10-2014,Standard Class,SL-20155,Sara Luxemburg,Home Office,US,Durham,North Carolina,27707,South,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils,6.19,3,0.20,0.46,1345.7%
8736,US-2014-169390,07-02-2014,02-10-2014,Standard Class,JD-16015,Joy Daniels,Consumer,US,Seattle,Washington,98115,West,OFF-LA-10002475,Office Supplies,Labels,Avery 519,29.24,4,0.00,13.74,212.8%
850,CA-2014-107755,07-02-2014,02-12-2014,Standard Class,NM-18445,Nathan Mautz,Home Office,US,New York City,New York,10024,East,TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,360.00,4,0.00,129.6,277.8%
9267,CA-2014-125759,08-02-2014,02-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,US,San Antonio,Texas,78207,Central,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.06,6,0.20,6.81,470.8%
5631,CA-2014-127614,11-02-2014,15-02-2014,Second Class,NZ-18565,Nick Zandusky,Home Office,US,Columbus,Ohio,43229,East,OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,19.10,7,0.20,6.68,285.9%
5632,CA-2014-127614,11-02-2014,15-02-2014,Second Class,NZ-18565,Nick Zandusky,Home Office,US,Columbus,Ohio,43229,East,OFF-LA-10004689,Office Supplies,Labels,Avery 512,18.50,8,0.20,6.24,296.5%
5633,CA-2014-127614,11-02-2014,15-02-2014,Second Class,NZ-18565,Nick Zandusky,Home Office,US,Columbus,Ohio,43229,East,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,255.98,2,0.20,54.4,470.6%
9255,CA-2014-168368,11-02-2014,15-02-2014,Second Class,NZ-18565,Nick Zandusky,Home Office,US,Columbus,Ohio,43229,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,3,0.50,-48.7,-178.6%
9256,CA-2014-168368,11-02-2014,15-02-2014,Standard Class,FA-14230,Frank Atkinson,Corporate,US,Orlando,Florida,32839,South,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,289.57,2,0.20,10.86,2666.4%
9257,CA-2014-168368,11-02-2014,15-02-2014,Standard Class,FA-14230,Frank Atkinson,Corporate,US,Orlando,Florida,32839,South,OFF-ST-10003327,Office Supplies,Storage,Akro-Mils 12-Gallon Tote,39.72,5,0.20,4.47,888.6%
9258,CA-2014-168368,11-02-2014,15-02-2014,Standard Class,FA-14230,Frank Atkinson,Corporate,US,Orlando,Florida,32839,South,TEC-PH-10003357,Technology,Phones,Grandstream GXP2100 Mainstream Business Phone,244.77,4,0.20,24.48,999.9%
9259,CA-2014-168368,11-02-2014,15-02-2014,Standard Class,NP-18670,Nora Paige,Consumer,US,Edmond,Oklahoma,73034,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2,0.00,6.87,212.8%
9260,CA-2014-168368,11-02-2014,15-02-2014,Standard Class,NP-18670,Nora Paige,Consumer,US,Edmond,Oklahoma,73034,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0.00,236.23,400.0%
457,US-2014-110674,12-02-2014,18-02-2014,Standard Class,DW-13195,David Wiener,Corporate,US,Houston,Texas,77095,Central,FUR-CH-10003774,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",318.43,5,0.30,-77.33,-411.8%
6548,CA-2014-113880,01-03-2014,03-05-2014,Standard Class,GM-14680,Greg Matthias,Consumer,US,San Jose,California,95123,West,OFF-SU-10004737,Office Supplies,Supplies,Acme Design Stainless Steel Bent Scissors,41.04,6,0.00,11.08,370.4%
6549,CA-2014-113880,01-03-2014,03-05-2014,Standard Class,GM-14680,Greg Matthias,Consumer,US,San Jose,California,95123,West,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,256.78,1,0.20,32.1,799.9%
7948,CA-2014-131009,01-03-2014,03-05-2014,Second Class,AF-10885,Art Foster,Consumer,US,Philadelphia,Pennsylvania,19134,East,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,349.97,7,0.50,-216.98,-161.3%
7949,CA-2014-131009,01-03-2014,03-05-2014,Second Class,AF-10885,Art Foster,Consumer,US,Philadelphia,Pennsylvania,19134,East,OFF-AR-10000716,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,22.32,5,0.20,5.3,421.1%
5550,CA-2014-159800,11-04-2016,12-01-2014,Standard Class,SC-20380,Shahid Collister,Consumer,US,El Paso,Texas,79907,Central,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.30,0,#DIV/0!
7950,CA-2014-131009,01-03-2014,03-05-2014,Standard Class,AI-10855,Arianne Irving,Consumer,US,Kent,Washington,98031,West,OFF-EN-10001434,Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",158.13,3,0.00,77.48,204.1%
7951,CA-2014-131009,01-03-2014,03-05-2014,Standard Class,AI-10855,Arianne Irving,Consumer,US,Kent,Washington,98031,West,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",43.60,5,0.20,4.36,1000.0%
5714,US-2014-143707,01-03-2014,03-05-2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,US,Fort Worth,Texas,76106,Central,TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,58.11,2,0.20,7.26,800.4%
158,CA-2014-104269,01-03-2014,03-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,US,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.20,85.31,2000.0%
8310,CA-2014-168312,01-03-2014,03-07-2014,Standard Class,BF-11170,Ben Ferrer,Home Office,US,Los Angeles,California,90036,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor-Drawer,249.75,9,0.00,44.96,555.5%
8311,CA-2014-168312,01-03-2014,03-07-2014,Standard Class,BF-11170,Ben Ferrer,Home Office,US,Los Angeles,California,90036,West,TEC-PH-10000439,Technology,Phones,GE DSL Phone Line Filter,255.94,8,0.20,28.79,889.0%
9946,CA-2014-111157,02-03-2014,03-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,US,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,0.20,68.36,1333.3%
9947,CA-2014-111157,02-03-2014,03-06-2014,Second Class,FO-14305,Frank Olsen,Consumer,US,Harrisonburg,Virginia,22801,South,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,1441.30,7,0.00,245.02,588.2%
6058,CA-2014-107524,02-03-2014,03-08-2014,Standard Class,RD-19720,Roger Demir,Consumer,US,Phoenix,Arizona,85023,West,OFF-FA-10004838,Office Supplies,Fasteners,"Super Bands, 12-Pack",4.46,3,0.20,-0.95,-469.5%
6059,CA-2014-107524,02-03-2014,03-08-2014,Standard Class,RD-19720,Roger Demir,Consumer,US,Phoenix,Arizona,85023,West,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,9.35,5,0.70,-6.54,-143.0%
8712,CA-2014-105648,03-03-2014,03-07-2014,Second Class,ME-17725,Max Engle,Consumer,US,Chicago,Illinois,60610,Central,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,35.86,9,0.20,13,275.8%
7349,CA-2014-130421,03-03-2014,03-07-2014,Second Class,ME-17725,Max Engle,Consumer,US,Chicago,Illinois,60610,Central,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1-Pack",23.84,4,0.20,3.28,726.8%
556,CA-2014-155852,03-03-2014,03-07-2014,Standard Class,AC-10420,Alyssa Crouse,Corporate,US,San Francisco,California,94122,West,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,7.71,2,0.20,2.8,275.4%
1163,CA-2014-127964,03-03-2014,03-08-2014,Standard Class,MG-17650,Matthew Grinstein,Home Office,US,Seattle,Washington,98103,West,TEC-PH-10001530,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1091.17,4,0.20,68.2,1600.0%
1164,CA-2014-127964,03-03-2014,03-08-2014,Standard Class,MG-17650,Matthew Grinstein,Home Office,US,Seattle,Washington,98103,West,TEC-PH-10000038,Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,219.17,2,0.20,-43.83,-500.0%
1165,CA-2014-127964,03-03-2014,03-08-2014,Standard Class,AG-10525,Andy Gerbode,Corporate,US,Saint Petersburg,Florida,33710,South,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,178.38,2,0.20,22.3,799.9%
7247,US-2014-127978,03-03-2014,03-08-2014,Standard Class,AG-10525,Andy Gerbode,Corporate,US,Saint Petersburg,Florida,33710,South,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,15.55,3,0.20,5.44,285.8%
7248,US-2014-127978,03-03-2014,03-08-2014,Standard Class,JH-15985,Joseph Holt,Consumer,US,Seattle,Washington,98103,West,OFF-BI-10004600,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,2060.74,7,0.20,643.98,320.0%
7249,US-2014-127978,03-03-2014,03-08-2014,Standard Class,GM-14680,Greg Matthias,Consumer,US,Seattle,Washington,98105,West,FUR-FU-10003691,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony",12.35,1,0.00,5.43,227.4%
1565,CA-2014-116239,04-03-2014,03-04-2014,Second Class,JK-15370,Jay Kimmel,Consumer,US,Miami,Florida,33180,South,TEC-AC-10001874,Technology,Accessories,Logitech Wireless Anywhere Mouse MX for PC and Mac,335.94,7,0.20,41.99,800.0%
4422,CA-2014-117016,04-03-2014,03-09-2014,Standard Class,BM-11140,Becky Martin,Consumer,US,San Antonio,Texas,78207,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.80,-453.85,-39.2%
8497,CA-2014-169061,05-03-2014,03-08-2014,Standard Class,GM-14680,Greg Matthias,Consumer,US,Seattle,Washington,98105,West,OFF-AR-10003903,Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,40.97,1,0.00,10.65,384.7%
8498,CA-2014-169061,05-03-2014,03-08-2014,Standard Class,GM-14680,Greg Matthias,Consumer,US,Seattle,Washington,98105,West,OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800-Box",22.96,2,0.00,10.79,212.8%
8499,CA-2014-169061,05-03-2014,03-08-2014,Standard Class,KL-16645,Ken Lonsdale,Consumer,US,New York City,New York,10035,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,375.34,1,0.00,18.77,1999.7%
8500,CA-2014-169061,05-03-2014,03-08-2014,Standard Class,CS-12175,Charles Sheldon,Corporate,US,Lakewood,New Jersey,8701,East,OFF-BI-10002854,Office Supplies,Binders,"Performers Binder-Pad Holder, Black",196.21,7,0.00,98.11,200.0%
8501,CA-2014-169061,05-03-2014,03-08-2014,Standard Class,BW-11200,Ben Wallace,Consumer,US,San Francisco,California,94122,West,TEC-PH-10003691,Technology,Phones,BlackBerry Q10,806.34,8,0.20,50.4,1599.9%
1898,CA-2014-169775,08-05-2016,09-02-2014,Standard Class,CM-12715,Craig Molinari,Corporate,US,Seattle,Washington,98103,West,OFF-ST-10000934,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",204.90,5,0.00,0,#DIV/0!
4962,CA-2014-156587,07-03-2014,03-08-2014,Standard Class,BW-11200,Ben Wallace,Consumer,US,San Francisco,California,94122,West,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day-Date Wall Clock",85.44,3,0.00,31.61,270.3%
4963,CA-2014-156587,07-03-2014,03-08-2014,First Class,LL-16840,Lauren Leatherbury,Consumer,US,Woodstock,Georgia,30188,South,OFF-BI-10000138,Office Supplies,Binders,Acco Translucent Poly Ring Binders,14.04,3,0.00,6.74,208.3%
4964,CA-2014-156587,07-03-2014,03-08-2014,First Class,LL-16840,Lauren Leatherbury,Consumer,US,Woodstock,Georgia,30188,South,TEC-AC-10000023,Technology,Accessories,"Maxell 74 Minute CD-R Spindle, 50-Pack",272.61,13,0.00,98.14,277.8%
5254,US-2014-131982,07-03-2014,03-11-2014,Standard Class,ND-18370,Natalie DeCherney,Consumer,US,Portland,Oregon,97206,West,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,5,0.20,-94.33,-470.6%
9641,CA-2014-104563,07-03-2014,03-12-2014,Standard Class,NM-18445,Nathan Mautz,Home Office,US,New York City,New York,10024,East,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",43.57,1,0.00,13.07,333.4%
9642,CA-2014-104563,07-03-2014,03-12-2014,Standard Class,TH-21235,Tiffany House,Corporate,US,Long Beach,California,90805,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,2.94,1,0.00,0.79,372.2%
9643,CA-2014-104563,07-03-2014,03-12-2014,Standard Class,DE-13255,Deanra Eno,Home Office,US,Los Angeles,California,90008,West,FUR-FU-10000320,Furniture,Furnishings,OIC Stacking Trays,20.04,6,0.00,8.82,227.2%
9644,CA-2014-104563,07-03-2014,03-12-2014,Standard Class,MD-17350,Maribeth Dona,Consumer,US,Philadelphia,Pennsylvania,19143,East,FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,273.57,2,0.20,-34.2,-799.9%
1172,US-2014-100279,10-03-2014,14-03-2014,Same Day,TG-21640,Trudy Glocke,Consumer,US,Saint Charles,Missouri,63301,Central,TEC-AC-10002473,Technology,Accessories,Maxell 4.7GB DVD-R,113.52,4,0.00,46.54,243.9%
2101,US-2014-140116,10-03-2014,17-03-2014,Standard Class,SP-20620,Stefania Perrino,Corporate,US,Philadelphia,Pennsylvania,19134,East,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,3.04,2,0.70,-2.33,-130.5%
2102,US-2014-140116,10-03-2014,17-03-2014,Standard Class,SP-20620,Stefania Perrino,Corporate,US,Philadelphia,Pennsylvania,19134,East,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",4.50,1,0.70,-3.6,-125.0%
7015,CA-2014-114790,11-03-2014,13-03-2014,First Class,LH-17155,Logan Haushalter,Consumer,US,Los Angeles,California,90032,West,TEC-PH-10003555,Technology,Phones,Motorola HK250 Universal Bluetooth Headset,55.18,3,0.20,-12.41,-444.6%
7016,CA-2014-114790,11-03-2014,13-03-2014,First Class,LH-17155,Logan Haushalter,Consumer,US,Los Angeles,California,90032,West,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,66.26,2,0.00,27.17,243.9%
7017,CA-2014-114790,11-03-2014,13-03-2014,Standard Class,AS-10090,Adam Shillingsburg,Consumer,US,New York City,New York,10011,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,36.56,5,0.20,12.8,285.6%
7018,CA-2014-114790,11-03-2014,13-03-2014,Standard Class,AS-10090,Adam Shillingsburg,Consumer,US,New York City,New York,10011,East,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern-Clear, 8 1-2"" x 11""",186.14,6,0.20,60.5,307.7%
3442,CA-2014-158337,11-03-2014,14-03-2014,Same Day,TG-21640,Trudy Glocke,Consumer,US,Saint Charles,Missouri,63301,Central,FUR-FU-10003623,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",135.30,5,0.00,37.88,357.2%
8300,US-2014-103338,11-03-2014,15-03-2014,First Class,PF-19225,Phillip Flathmann,Consumer,US,Edmonds,Washington,98026,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,455.71,2,0.20,34.18,1333.3%
1542,CA-2014-166884,11-03-2014,16-03-2014,Second Class,MM-18055,Michelle Moray,Consumer,US,Chicago,Illinois,60610,Central,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,765.63,7,0.50,-566.56,-135.1%
1543,CA-2014-166884,11-03-2014,16-03-2014,Standard Class,KD-16495,Keith Dawkins,Corporate,US,Los Angeles,California,90036,West,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel-High-Stak Systems,99.87,3,0.00,23.97,416.6%
7954,CA-2014-138359,01-04-2014,04-06-2014,Second Class,CW-11905,Carl Weiss,Home Office,US,Huntsville,Texas,77340,Central,TEC-PH-10000376,Technology,Phones,Square Credit Card Reader,7.99,1,0.20,0.6,1331.7%
7955,CA-2014-138359,01-04-2014,04-06-2014,Second Class,CW-11905,Carl Weiss,Home Office,US,Huntsville,Texas,77340,Central,TEC-AC-10000303,Technology,Accessories,Logitech M510 Wireless Mouse,63.98,2,0.20,10.4,615.2%
1373,US-2014-157021,01-04-2014,04-06-2014,Second Class,CW-11905,Carl Weiss,Home Office,US,Huntsville,Texas,77340,Central,OFF-AR-10001953,Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,70.37,2,0.20,6.16,1142.4%
1374,US-2014-157021,01-04-2014,04-06-2014,Standard Class,CM-12445,Chuck Magee,Consumer,US,San Francisco,California,94122,West,OFF-SU-10001225,Office Supplies,Supplies,Staple remover,7.36,2,0.00,0.15,4906.7%
8827,US-2014-157847,02-04-2014,04-06-2014,Standard Class,CM-12445,Chuck Magee,Consumer,US,San Francisco,California,94122,West,OFF-AR-10003752,Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,23.10,2,0.00,10.63,217.3%
8828,US-2014-157847,02-04-2014,04-06-2014,Second Class,TS-21205,Thomas Seio,Corporate,US,North Las Vegas,Nevada,89031,West,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils,18.06,7,0.00,4.7,384.3%
8920,CA-2014-160276,02-04-2014,04-08-2014,Standard Class,DH-13675,Duane Huffman,Home Office,US,Miami,Florida,33180,South,OFF-PA-10000295,Office Supplies,Paper,Xerox 229,31.10,6,0.20,10.89,285.6%
5683,CA-2014-164315,02-04-2014,04-08-2014,Standard Class,DH-13675,Duane Huffman,Home Office,US,Miami,Florida,33180,South,OFF-AR-10004344,Office Supplies,Art,Bulldog Vacuum Base Pencil Sharpener,47.96,5,0.20,4.2,1141.9%
